index,Location,Metrics,Model Category,Model,y
0,S1,MSE,General,CNN,2.659714531327432
1,S1,MSE,General,RNN,0.0267989242879104
2,S1,MSE,General,GRU,0.8369272600490317
3,S1,MSE,General,LSTM,0.020811208718713
4,S1,MSE,MA,CNN,0.0670466716934536
5,S1,MSE,MA,RNN,0.0874742723582778
6,S1,MSE,MA,GRU,0.0809324355579521
7,S1,MSE,MA,LSTM,0.4985551261734355
8,S1,MSE,DReg,CNN,0.1622802253164868
9,S1,MSE,DReg,RNN,0.0187767695254321
10,S1,MSE,DReg,GRU,0.0218692434484908
11,S1,MSE,DReg,LSTM,0.0185181450054577
12,S1,MSE,MA DReg,CNN,0.952093375308221
13,S1,MSE,MA DReg,RNN,0.1215661678770503
14,S1,MSE,MA DReg,GRU,0.1187886946193656
15,S1,MSE,MA DReg,LSTM,0.2212963979629848
16,S1,MSE,HY,CNN LSTM,0.0173040995230712
17,S1,MSE,HY,RNN LSTM GRU,0.0164906787397224
18,S1,MSE,HY,CNN RNN GRU,0.0199415430481557
19,S1,MSE,HY,CNN GRU,0.0231898078582828
20,S1,MSE,HY,RNN GRU,0.018323506147185
21,S1,MSE,HY,RNN LSTM,0.0172437145697986
22,S1,MSE,MA HY,CNN LSTM,0.2204461768507297
23,S1,MSE,MA HY,RNN LSTM GRU,0.0777336880146589
24,S1,MSE,MA HY,CNN RNN GRU,0.8236575429914206
25,S1,MSE,MA HY,CNN GRU,0.3818832492608167
26,S1,MSE,MA HY,RNN GRU,0.0771290385871939
27,S1,MSE,MA HY,RNN LSTM,0.1880885086889747
28,S2,MSE,General,CNN,0.0340101222379442
29,S2,MSE,General,RNN,0.0211102454083719
30,S2,MSE,General,GRU,0.8966983330028301
31,S2,MSE,General,LSTM,0.0810453831580331
32,S2,MSE,MA,CNN,0.0710813822188693
33,S2,MSE,MA,RNN,0.0543467930225197
34,S2,MSE,MA,GRU,0.1301250754563655
35,S2,MSE,MA,LSTM,0.1515983382176633
36,S2,MSE,DReg,CNN,0.3808331486178702
37,S2,MSE,DReg,RNN,0.0133893976812331
38,S2,MSE,DReg,GRU,0.01713946187612
39,S2,MSE,DReg,LSTM,0.0199564227413426
40,S2,MSE,MA DReg,CNN,0.8953622234115812
41,S2,MSE,MA DReg,RNN,0.0471569310585094
42,S2,MSE,MA DReg,GRU,0.0501541572680391
43,S2,MSE,MA DReg,LSTM,0.1975496094769917
44,S2,MSE,HY,CNN LSTM,0.0202019317686871
45,S2,MSE,HY,RNN LSTM GRU,0.0157754734468646
46,S2,MSE,HY,CNN RNN GRU,0.0261300860775076
47,S2,MSE,HY,CNN GRU,0.0255283735209721
48,S2,MSE,HY,RNN GRU,0.0136164846128048
49,S2,MSE,HY,RNN LSTM,0.0161585258559635
50,S2,MSE,MA HY,CNN LSTM,0.1304308078483733
51,S2,MSE,MA HY,RNN LSTM GRU,0.1342842591812042
52,S2,MSE,MA HY,CNN RNN GRU,0.7421977399928705
53,S2,MSE,MA HY,CNN GRU,0.7943817769522838
54,S2,MSE,MA HY,RNN GRU,0.0452357076361055
55,S2,MSE,MA HY,RNN LSTM,0.0788743652625763
56,S3,MSE,General,CNN,0.0514413112783071
57,S3,MSE,General,RNN,0.0350120020193606
58,S3,MSE,General,GRU,0.8476579766305119
59,S3,MSE,General,LSTM,0.0260104387188087
60,S3,MSE,MA,CNN,0.1267058957548902
61,S3,MSE,MA,RNN,0.077859553178712
62,S3,MSE,MA,GRU,0.1685278275052407
63,S3,MSE,MA,LSTM,0.1639029546235959
64,S3,MSE,DReg,CNN,0.0885014811577487
65,S3,MSE,DReg,RNN,0.0253193978264456
66,S3,MSE,DReg,GRU,0.0270712401364925
67,S3,MSE,DReg,LSTM,0.022192846199302
68,S3,MSE,MA DReg,CNN,1.1935118361154695
69,S3,MSE,MA DReg,RNN,0.0593815812697304
70,S3,MSE,MA DReg,GRU,0.1227581315537666
71,S3,MSE,MA DReg,LSTM,0.1546382561587083
72,S3,MSE,HY,CNN LSTM,0.0232205771347068
73,S3,MSE,HY,RNN LSTM GRU,0.0227242124612929
74,S3,MSE,HY,CNN RNN GRU,0.0324252128909641
75,S3,MSE,HY,CNN GRU,0.0281849386453745
76,S3,MSE,HY,RNN GRU,0.0219423451831667
77,S3,MSE,HY,RNN LSTM,0.0218009448235238
78,S3,MSE,MA HY,CNN LSTM,0.1793664509185288
79,S3,MSE,MA HY,RNN LSTM GRU,0.238457717659581
80,S3,MSE,MA HY,CNN RNN GRU,0.600161053795092
81,S3,MSE,MA HY,CNN GRU,0.3534658177864621
82,S3,MSE,MA HY,RNN GRU,0.1175131690570788
83,S3,MSE,MA HY,RNN LSTM,0.0728150136240957
84,S4,MSE,General,CNN,0.0629616146175607
85,S4,MSE,General,RNN,0.0752116072671319
86,S4,MSE,General,GRU,0.9239733431788054
87,S4,MSE,General,LSTM,0.0395176736785753
88,S4,MSE,MA,CNN,0.0960783179852647
89,S4,MSE,MA,RNN,0.0539539024232701
90,S4,MSE,MA,GRU,0.1106493360140467
91,S4,MSE,MA,LSTM,0.1646986113235751
92,S4,MSE,DReg,CNN,0.1646867145049166
93,S4,MSE,DReg,RNN,0.0310352775309023
94,S4,MSE,DReg,GRU,0.0323658685697811
95,S4,MSE,DReg,LSTM,0.0286471822522404
96,S4,MSE,MA DReg,CNN,2.558422000326738
97,S4,MSE,MA DReg,RNN,0.2212651024898207
98,S4,MSE,MA DReg,GRU,0.1236720288647987
99,S4,MSE,MA DReg,LSTM,0.3460722400392108
100,S4,MSE,HY,CNN LSTM,0.0347502731743058
101,S4,MSE,HY,RNN LSTM GRU,0.0283484023223153
102,S4,MSE,HY,CNN RNN GRU,0.0512543677281927
103,S4,MSE,HY,CNN GRU,0.0521974664277332
104,S4,MSE,HY,RNN GRU,0.0266657168844303
105,S4,MSE,HY,RNN LSTM,0.0259507097078668
106,S4,MSE,MA HY,CNN LSTM,0.1994765268293888
107,S4,MSE,MA HY,RNN LSTM GRU,0.1159405499620242
108,S4,MSE,MA HY,CNN RNN GRU,0.2725140329886947
109,S4,MSE,MA HY,CNN GRU,0.461349912028658
110,S4,MSE,MA HY,RNN GRU,0.0837004360146572
111,S4,MSE,MA HY,RNN LSTM,0.1514485016009666
