index,Location,Metrics,Model Category,Model,y
0,S1,MAE,General,CNN,1.574988233224592
1,S1,MAE,General,RNN,0.9330669064405892
2,S1,MAE,General,GRU,0.7906996671358744
3,S1,MAE,General,LSTM,0.792904067105717
4,S1,MAE,MA,CNN,1.1871138865003985
5,S1,MAE,MA,RNN,0.1814378790722952
6,S1,MAE,MA,GRU,0.2915751452247301
7,S1,MAE,MA,LSTM,0.5962922239965862
8,S1,MAE,DReg,CNN,0.8516123283902803
9,S1,MAE,DReg,RNN,0.1176101272087544
10,S1,MAE,DReg,GRU,0.1083407507901493
11,S1,MAE,DReg,LSTM,0.0965727422572672
12,S1,MAE,MA DReg,CNN,1.1293708025871052
13,S1,MAE,MA DReg,RNN,0.289493571801318
14,S1,MAE,MA DReg,GRU,0.2690556938449541
15,S1,MAE,MA DReg,LSTM,0.4715931330124536
16,S1,MAE,HY,CNN LSTM,0.7521024032433827
17,S1,MAE,HY,RNN LSTM GRU,0.1069966299004024
18,S1,MAE,HY,CNN RNN GRU,0.7738826272222731
19,S1,MAE,HY,CNN GRU,0.7756465770138634
20,S1,MAE,HY,RNN GRU,0.1102576715778559
21,S1,MAE,HY,RNN LSTM,0.1076707512243754
22,S1,MAE,MA HY,CNN LSTM,0.7688132158252928
23,S1,MAE,MA HY,RNN LSTM GRU,0.2723857623669836
24,S1,MAE,MA HY,CNN RNN GRU,0.791137019528283
25,S1,MAE,MA HY,CNN GRU,0.7765781711207496
26,S1,MAE,MA HY,RNN GRU,0.3099218089050717
27,S1,MAE,MA HY,RNN LSTM,0.2698406291670269
28,S2,MAE,General,CNN,2.365943944721172
29,S2,MAE,General,RNN,0.8675844296233522
30,S2,MAE,General,GRU,0.8268596988254123
31,S2,MAE,General,LSTM,0.8065529427263471
32,S2,MAE,MA,CNN,1.1242404556108845
33,S2,MAE,MA,RNN,0.2150980135798454
34,S2,MAE,MA,GRU,0.2585075092315673
35,S2,MAE,MA,LSTM,0.2786919913689295
36,S2,MAE,DReg,CNN,0.8400529114405314
37,S2,MAE,DReg,RNN,0.0943861027206811
38,S2,MAE,DReg,GRU,0.0985440544028662
39,S2,MAE,DReg,LSTM,0.091303297775901
40,S2,MAE,MA DReg,CNN,1.1856143059571171
41,S2,MAE,MA DReg,RNN,0.2514241797063086
42,S2,MAE,MA DReg,GRU,0.4116770053572125
43,S2,MAE,MA DReg,LSTM,0.3172546539041731
44,S2,MAE,HY,CNN LSTM,0.780039677090115
45,S2,MAE,HY,RNN LSTM GRU,0.0882777184806763
46,S2,MAE,HY,CNN RNN GRU,0.7848151217566596
47,S2,MAE,HY,CNN GRU,0.7922698717647129
48,S2,MAE,HY,RNN GRU,0.0901850541018777
49,S2,MAE,HY,RNN LSTM,0.093232234014819
50,S2,MAE,MA HY,CNN LSTM,0.7867737489938736
51,S2,MAE,MA HY,RNN LSTM GRU,0.2553778518570794
52,S2,MAE,MA HY,CNN RNN GRU,0.785698454313808
53,S2,MAE,MA HY,CNN GRU,0.7845982022417917
54,S2,MAE,MA HY,RNN GRU,0.1497994246747759
55,S2,MAE,MA HY,RNN LSTM,0.197765997449557
56,S3,MAE,General,CNN,1.5563280249966516
57,S3,MAE,General,RNN,0.8283836889266968
58,S3,MAE,General,GRU,0.793730305035909
59,S3,MAE,General,LSTM,0.7601439321041107
60,S3,MAE,MA,CNN,0.9783460390008984
61,S3,MAE,MA,RNN,0.1526835759811931
62,S3,MAE,MA,GRU,0.3960526468025314
63,S3,MAE,MA,LSTM,0.281674181719621
64,S3,MAE,DReg,CNN,1.4778633527126577
65,S3,MAE,DReg,RNN,0.1082314342570801
66,S3,MAE,DReg,GRU,0.110008037993167
67,S3,MAE,DReg,LSTM,0.1134032740278376
68,S3,MAE,MA DReg,CNN,1.5208427061637242
69,S3,MAE,MA DReg,RNN,0.299178311129411
70,S3,MAE,MA DReg,GRU,0.3779086443781853
71,S3,MAE,MA DReg,LSTM,0.4605725918213526
72,S3,MAE,HY,CNN LSTM,0.7632978440655602
73,S3,MAE,HY,RNN LSTM GRU,0.1056059528126691
74,S3,MAE,HY,CNN RNN GRU,0.7737251053916083
75,S3,MAE,HY,CNN GRU,0.7704343163967132
76,S3,MAE,HY,RNN GRU,0.1142956483043316
77,S3,MAE,HY,RNN LSTM,0.1044809325541265
78,S3,MAE,MA HY,CNN LSTM,0.7703376856777403
79,S3,MAE,MA HY,RNN LSTM GRU,0.4084813954432805
80,S3,MAE,MA HY,CNN RNN GRU,0.770424357453982
81,S3,MAE,MA HY,CNN GRU,0.769952010512352
82,S3,MAE,MA HY,RNN GRU,0.1746865319212277
83,S3,MAE,MA HY,RNN LSTM,0.2435899587141142
84,S4,MAE,General,CNN,1.4624988928437237
85,S4,MAE,General,RNN,0.703746223979526
86,S4,MAE,General,GRU,0.7775357329845428
87,S4,MAE,General,LSTM,0.7943071521653069
88,S4,MAE,MA,CNN,1.4013736622780562
89,S4,MAE,MA,RNN,0.2013849155770407
90,S4,MAE,MA,GRU,0.3151305770874023
91,S4,MAE,MA,LSTM,0.6288796743419435
92,S4,MAE,DReg,CNN,1.5431810251871745
93,S4,MAE,DReg,RNN,0.1190125974785122
94,S4,MAE,DReg,GRU,0.1098264193627983
95,S4,MAE,DReg,LSTM,0.1070380210048622
96,S4,MAE,MA DReg,CNN,1.5539329580465953
97,S4,MAE,MA DReg,RNN,0.2736806722150908
98,S4,MAE,MA DReg,GRU,0.3293367922968334
99,S4,MAE,MA DReg,LSTM,0.3405989875727229
100,S4,MAE,HY,CNN LSTM,0.7699612012174394
101,S4,MAE,HY,RNN LSTM GRU,0.1024459963679934
102,S4,MAE,HY,CNN RNN GRU,0.767486457824707
103,S4,MAE,HY,CNN GRU,0.7749691867828369
