Metrics,Model Category,Model,y
MSE,General,CNN,1106.5797108802444
MSE,General,RNN,44.88380304564021
MSE,General,GRU,979.0324387272241
MSE,General,LSTM,899.3017475598115
MSE,MA,CNN,40.24799701113074
MSE,MA,RNN,55.25131030979963
MSE,MA,GRU,23.18725089555981
MSE,MA,LSTM,26.727125999012728
MSE,DReg,CNN,121.83246446901678
MSE,DReg,RNN,57.29673059167473
MSE,DReg,GRU,49.00457380574949
MSE,DReg,LSTM,28.11640396886957
MSE,MA DReg,CNN,74.99806746181586
MSE,MA DReg,RNN,70.88850364939023
MSE,MA DReg,GRU,65.09553265572747
MSE,MA DReg,LSTM,45.25371360151751
MSE,HY,CNN LSTM,211.75560389358668
MSE,HY,LSTM RNN GRU,53.72268672043625
MSE,HY,CNN RNN GRU,28.70379828397616
MSE,HY,CNN GRU,261.50688457385434
MSE,HY,RNN GRU,205.11700908311852
MSE,HY,RNN LSTM,231.13179514142536
MSE,MA HY,CNN LSTM,233.10532972263607
MSE,MA HY,LSTM RNN GRU,48.455060806652966
MSE,MA HY,CNN RNN GRU,28.889515543601135
MSE,MA HY,CNN GRU,236.92853459976473
MSE,MA HY,RNN GRU,246.24738906661534
MSE,MA HY,RNN LSTM,232.78192605156963
RMSE,General,CNN,33.26529288733596
RMSE,General,RNN,6.699537524757974
RMSE,General,GRU,31.289494063139212
RMSE,General,LSTM,29.988360201248273
RMSE,MA,CNN,6.344130910623672
RMSE,MA,RNN,7.433122514112062
RMSE,MA,GRU,4.815314205278801
RMSE,MA,LSTM,5.169828430326555
RMSE,DReg,CNN,11.037774434595807
RMSE,DReg,RNN,7.569460389728896
RMSE,DReg,GRU,7.000326692787237
RMSE,DReg,LSTM,5.302490355377326
RMSE,MA DReg,CNN,8.66014246198155
RMSE,MA DReg,RNN,8.41953108251227
RMSE,MA DReg,GRU,8.068180256769644
RMSE,MA DReg,LSTM,6.7270880477006925
RMSE,HY,CNN LSTM,14.551824761643699
RMSE,HY,LSTM RNN GRU,7.329576162400951
RMSE,HY,CNN RNN GRU,5.357592582865569
RMSE,HY,CNN GRU,16.17117449580748
RMSE,HY,RNN GRU,14.321906614802323
RMSE,HY,RNN LSTM,15.203019277151014
RMSE,MA HY,CNN LSTM,15.267787322419581
RMSE,MA HY,LSTM RNN GRU,6.96096694480393
RMSE,MA HY,CNN RNN GRU,5.374896793762754
RMSE,MA HY,CNN GRU,15.392483055042312
RMSE,MA HY,RNN GRU,15.692271634999674
RMSE,MA HY,RNN LSTM,15.257192600592338
MAE,General,CNN,32.85232303977013
MAE,General,RNN,5.905022033055624
MAE,General,GRU,30.850086822509766
MAE,General,LSTM,29.52959813117981
MAE,MA,CNN,5.356086599561904
MAE,MA,RNN,5.515128482182821
MAE,MA,GRU,3.922057246102227
MAE,MA,LSTM,4.287017158932156
MAE,DReg,CNN,9.319021316634284
MAE,DReg,RNN,5.662406214608087
MAE,DReg,GRU,5.130869298511081
MAE,DReg,LSTM,4.300871198442247
MAE,MA DReg,CNN,7.654915139940049
MAE,MA DReg,RNN,6.641099923451741
MAE,MA DReg,GRU,6.231094756656223
MAE,MA DReg,LSTM,4.901564122305976
MAE,HY,CNN LSTM,13.581274669435288
MAE,HY,LSTM RNN GRU,5.416428357230292
MAE,HY,CNN RNN GRU,4.282710986667209
MAE,HY,CNN GRU,15.30366958618164
MAE,HY,RNN GRU,13.334594621658324
MAE,HY,RNN LSTM,14.276801295810275
MAE,MA HY,CNN LSTM,14.34575714111328
MAE,MA HY,LSTM RNN GRU,5.098032013575236
MAE,MA HY,CNN RNN GRU,4.2757934040493435
MAE,MA HY,CNN GRU,14.478396072387694
MAE,MA HY,RNN GRU,14.796647629208033
MAE,MA HY,RNN LSTM,14.334504022598265
R2,General,CNN,-1.0
R2,General,RNN,0.9599470128297052
R2,General,GRU,-0.7645409639368851
R2,General,LSTM,-0.6173538750244523
R2,MA,CNN,0.9685049568910382
R2,MA,RNN,0.9408080439941533
R2,MA,GRU,1.0
R2,MA,LSTM,0.9934652026219515
R2,DReg,CNN,0.8178956985267345
R2,DReg,RNN,0.937032089559499
R2,DReg,GRU,0.9523398512288805
R2,DReg,LSTM,0.9909005217308242
R2,MA DReg,CNN,0.9043544819077136
R2,MA DReg,RNN,0.9119409548881214
R2,MA DReg,GRU,0.9226350868996078
R2,MA DReg,LSTM,0.9592641383044707
R2,HY,CNN LSTM,0.6518928089998106
R2,HY,LSTM RNN GRU,0.9436299642969492
R2,HY,CNN RNN GRU,0.9898161606395262
R2,HY,CNN GRU,0.5600493034967893
R2,HY,RNN GRU,0.6641480074725084
R2,HY,RNN LSTM,0.616123331246361
R2,MA HY,CNN LSTM,0.6124800816316485
R2,MA HY,LSTM RNN GRU,0.9533542813996505
R2,MA HY,CNN RNN GRU,0.9894733167182612
R2,MA HY,CNN GRU,0.6054222424490081
R2,MA HY,RNN GRU,0.5882191423517775
R2,MA HY,RNN LSTM,0.6130771019784045
